Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Attack
192.168.100.147-192.168.100.7-1649-80-6,192.168.100.147,1649,192.168.100.7,80,6,04/06/2018 05:38:04 PM,22646986,3,1,300,100,100,100,100,0,100,100,100,0,17.66239446,0.176623945,7548995.333,5561972.049,13839423,3281987,19364999,9682499.5,5878777.591,13839423,5525576,0,0,0,0,0,0,0,0,0,60,20,0.132467958,0.044155986,100,100,100,0,0,0,1,0,0,0,0,0,0,0,125,100,100,0,0,0,0,0,0,3,300,1,100,-1,512,3,0,3281987,0,3281987,3281987,9682499.5,5878777.591,13839423,5525576,1,DDoS
192.168.100.149-192.168.100.7-2820-80-17,192.168.100.147,2820,192.168.100.7,80,17,04/06/2018 02:29:28 PM,24915470,4,1,0,0,0,0,0,0,0,0,0,0,0,0.200678534,6228867.5,2337803.471,9613711,4568562,20138439,6712813,2606293.944,9613711,4568562,0,0,0,0,0,0,0,0,0,32,8,0.160542827,0.040135707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,4777031,0,4777031,4777031,7784938.5,2586274.872,9613711,5956166,1,DDoS
192.168.100.150-192.168.100.5-5146-80-17,192.168.100.147,5146,192.168.100.7,80,17,04/06/2018 06:17:12 PM,46437692,8,1,0,0,0,0,0,0,0,0,0,0,0,0.193808082,5804711.5,3854238.419,14796053,3089320,42448141,6064020.143,4086983.038,14796053,3089320,0,0,0,0,0,0,0,0,0,64,8,0.17227385,0.021534231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,-1,-1,0,0,9597806.5,7235516.1,14714089,4481524,9080693,5048132.763,14796053,5230723,1,DDoS
192.168.100.150-192.168.100.3-3920-80-17,192.168.100.7,3920,192.168.100.3,80,17,04/06/2018 02:07:52 PM,38115885,16,1,0,0,0,0,0,0,0,0,0,0,0,0.446008272,2382242.813,2034334.637,9159154,1106901,37008984,2467265.6,2076102.657,9159154,1135965,0,0,0,0,0,0,0,0,0,128,8,0.419772491,0.026235781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,-1,-1,0,0,14344211,0,14344211,14344211,9159154,0,9159154,9159154,1,DDoS
192.168.100.148-192.168.100.7-41960-80-6,192.168.100.3,41960,192.168.100.8,80,6,04/06/2018 05:35:17 PM,16031335,4,1,400,100,100,100,100,0,100,100,100,0,31.18891845,0.311889185,4007833.75,1614804.812,6276238,2474801,9755097,3251699,693507.9727,3808301,2474801,0,0,0,0,0,0,0,0,0,80,20,0.249511348,0.062377837,100,100,100,0,0,0,1,0,0,0,0,0,0,0,120,100,100,0,0,0,0,0,0,4,400,1,100,-1,512,4,0,0,0,0,0,6276238,0,6276238,6276238,1,DDoS
192.168.100.150-192.168.100.7-13971-80-17,192.168.100.8,13971,192.168.100.147,80,17,04/06/2018 02:43:26 PM,26541438,6,1,0,0,0,0,0,0,0,0,0,0,0,0.263738536,4423573,1070958.595,5980579,3501381,23040057,4608011.4,1085614.557,5980579,3588057,0,0,0,0,0,0,0,0,0,48,8,0.226061602,0.037676934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,-1,-1,0,0,15001753,0,15001753,15001753,5769842.5,298026.4164,5980579,5559106,1,DDoS
192.168.100.148-192.168.100.7-53622-80-17,192.168.100.3,53622,192.168.100.147,80,17,04/06/2018 02:18:45 PM,17424203,4,1,0,0,0,0,0,0,0,0,0,0,0,0.286957171,4356050.75,42334.25257,4419546,4334066,13090137,4363379,48642.20311,4419546,4335173,0,0,0,0,0,0,0,0,0,32,8,0.229565737,0.057391434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,DDoS
192.168.100.147-192.168.100.5-57919-80-17,192.168.100.3,57919,192.168.100.7,80,17,04/06/2018 02:35:32 PM,17719344,5,1,0,0,0,0,0,0,0,0,0,0,0,0.338612987,3543868.8,52775.89558,3637361,3508948,14190168,3547542,60197.82015,3637361,3508948,0,0,0,0,0,0,0,0,0,40,8,0.282177489,0.056435498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,DDoS
192.168.100.147-192.168.100.6-53915-80-6,192.168.100.146,53915,192.168.100.3,80,6,04/06/2018 05:24:18 PM,29183,0,2,0,100,0,0,0,0,100,0,50,70.71067812,3426.652503,68.53305006,29183,0,29183,29183,0,0,0,0,0,29183,29183,0,29183,29183,0,0,0,0,0,40,0,68.53305006,0,100,66.66666667,57.73502692,3333.333333,0,1,0,0,0,0,0,0,0,100,0,50,0,0,0,0,0,0,0,0,2,100,-1,0,0,0,0,0,0,0,0,0,0,0,1,DDoS
192.168.100.149-192.168.100.5-18051-80-6,192.168.100.146,18051,192.168.100.8,80,6,04/06/2018 05:22:31 PM,17666783,4,1,400,100,100,100,100,0,100,100,100,0,28.30170043,0.283017004,4416695.75,1196266.973,5382149,2682870,13038693,4346231,1454919.351,5382149,2682870,0,0,0,0,0,0,0,0,0,80,20,0.226413603,0.056603401,100,100,100,0,0,0,1,0,0,0,0,0,0,0,120,100,100,0,0,0,0,0,0,4,400,1,100,-1,512,4,0,12284634,0,12284634,12284634,5382149,0,5382149,5382149,1,DDoS
