Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Attack
192.168.100.148-192.168.100.7-53736-80-17,192.168.1.8,53736,192.168.1.1,80,17,04/06/2018 01:42:10 AM,42823221,8,1,0,0,0,0,0,0,0,0,0,0,0,0.210166349,5352902.625,2074644.107,8677508,2767033,38823028,5546146.857,2161704.981,8677508,2767033,0,0,0,0,0,0,0,0,0,64,8,0.186814532,0.023351817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,-1,-1,0,0,4000193,0,4000193,4000193,6615992,1412977.229,8677508,5180053,1,DDoS
192.168.100.147-192.168.100.5-23811-80-17,192.168.1.1,23811,192.168.1.7,80,17,04/06/2018 02:41:00 AM,30555695,9,1,0,0,0,0,0,0,0,0,0,0,0,0.327271234,3395077.222,784424.6068,4669513,2448129,27307991,3413498.875,836501.3863,4669513,2448129,0,0,0,0,0,0,0,0,0,72,8,0.29454411,0.032727123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,DDoS
192.168.100.149-192.168.100.6-48908-80-17,192.168.1.1,48908,192.168.1.8,80,17,04/06/2018 02:55:30 AM,18313812,4,1,0,0,0,0,0,0,0,0,0,0,0,0.273017982,4578453,443377.2856,5224675,4255786,13089137,4363045.667,128348.0056,4505246,4255786,0,0,0,0,0,0,0,0,0,32,8,0.218414386,0.054603596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0,0,0,0,5224675,0,5224675,5224675,1,DDoS
192.168.100.148-192.168.100.6-49334-80-17,192.168.1.1,49334,192.168.10.10,80,17,04/06/2018 03:05:46 AM,31356154,7,1,0,0,0,0,0,0,0,0,0,0,0,0.25513333,4479450.571,3269773.852,11890061,3138614,28123975,4687329.167,3530823.1,11890061,3138614,0,0,0,0,0,0,0,0,0,56,8,0.223241664,0.031891666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,19466093,0,19466093,19466093,11890061,0,11890061,11890061,1,DDoS
192.168.100.150-192.168.100.5-64117-80-6,192.168.10.10,64117,192.168.1.2,80,6,04/06/2018 03:14:59 AM,43461594,4,2,400,100,100,100,100,0,100,0,50,70.71067812,11.50441008,0.138052921,8692318.8,5598660.636,13757676,41803,29662115,9887371.667,3209850.655,13575904,7728164,41803,41803,0,41803,41803,0,0,0,0,80,40,0.092035281,0.04601764,0,100,85.71428571,37.7964473,1428.571429,0,1,0,0,0,0,0,0,0,100,100,50,0,0,0,0,0,0,4,400,2,100,-1,0,4,0,41803,0,41803,41803,10854947.75,3257848.174,13757676,7728164,1,DDoS
192.168.100.150-192.168.100.5-63389-80-17,192.168.1.1,63389,192.168.10.10,80,17,04/06/2018 04:13:42 AM,37860679,9,1,0,0,0,0,0,0,0,0,0,0,0,0.264126272,4206742.111,2139679.8,9298648,2868308,34625635,4328204.375,2254000.105,9298648,2868308,0,0,0,0,0,0,0,0,0,72,8,0.237713645,0.026412627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,22461854,0,22461854,22461854,7699412.5,2261660.534,9298648,6100177,1,DDoS
192.168.100.150-192.168.100.7-39183-80-17,192.168.10.10,39183,192.168.1.2,80,17,04/06/2018 04:35:42 AM,44630494,7,1,0,0,0,0,0,0,0,0,0,0,0,0.17924964,6375784.857,3167380.355,13085932,3821061,39681271,6613545.167,3400574.404,13085932,3821061,0,0,0,0,0,0,0,0,0,56,8,0.156843435,0.022406205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,6861746.5,2704716.672,8774270,4949223,7726750.25,3755349.302,13085932,5005483,1,DDoS
192.168.100.150-192.168.100.5-17686-80-6,192.168.1.1,17686,192.168.10.10,80,6,04/06/2018 05:15:57 AM,36351006,3,1,300,100,100,100,100,0,100,100,100,0,11.00382201,0.11003822,12117002,7232516.319,19605883,5171501,24777384,12388692,10206649.39,19605883,5171501,0,0,0,0,0,0,0,0,0,60,20,0.082528665,0.027509555,100,100,100,0,0,0,1,0,0,0,0,0,0,0,125,100,100,0,0,0,0,0,0,3,300,1,100,-1,512,3,0,0,0,0,0,12117002,7232516.319,19605883,5171501,1,DDoS
192.168.100.150-192.168.100.6-54419-80-17,192.168.10.10,54419,192.168.1.2,80,17,04/06/2018 05:32:10 AM,41033262,8,1,0,0,0,0,0,0,0,0,0,0,0,0.219334256,5129157.75,2014604.673,9932277,3560859,36078005,5154000.714,2174697.766,9932277,3560859,0,0,0,0,0,0,0,0,0,64,8,0.194963783,0.024370473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,-1,-1,0,0,26196769,0,26196769,26196769,9932277,0,9932277,9932277,1,DDoS
192.168.100.148-192.168.100.7-57081-80-17,192.168.1.2,57081,192.168.10.10,80,17,04/06/2018 05:35:12 AM,25843569,7,1,0,0,0,0,0,0,0,0,0,0,0,0.309554768,3691938.429,1863799.489,7658845,2444397,18184724,3030787.333,704757.9505,4121530,2444397,0,0,0,0,0,0,0,0,0,56,8,0.270860422,0.038694346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,0,0,0,0,7658845,0,7658845,7658845,1,DDoS
