Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Attack
192.168.100.147-192.168.100.3-65233-4354-6,192.168.177.244,65233,192.168.175.164,4354,6,21/05/2023 08:34:01 PM,411,0,2,0,0,0,0,0,0,0,0,0,0,0,4866.180049,411,0,411,411,0,0,0,0,0,411,411,0,411,411,0,0,0,0,0,44,0,4866.180049,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,Reconnaissance
192.168.100.150-192.168.100.3-45641-80-17,192.168.44.149,45641,192.168.79.181,80,17,04/06/2023 06:07:30 PM,15391787,7,1,0,0,0,0,0,0,0,0,0,0,0,0.519757712,2198826.714,11034.70232,2221525,2187989,13201070,2200178.333,11435.55177,2221525,2187989,0,0,0,0,0,0,0,0,0,56,8,0.454787998,0.064969714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,DoS
192.168.100.147-192.168.100.7-63830-80-6,192.168.177.244,63830,192.168.78.251,80,6,04/06/2023 01:06:22 PM,50607212,6,1,600,100,100,100,100,0,100,100,100,0,13.83202062,0.138320206,8434535.333,2007947.794,12138938,6907103,43574887,8714977.4,2109492.778,12138938,6907103,0,0,0,0,0,0,0,0,0,120,20,0.118560177,0.019760029,100,100,100,0,0,0,1,0,0,0,0,0,0,0,114.2857143,100,100,0,0,0,0,0,0,6,600,1,100,-1,512,6,0,0,0,0,0,8434535.333,2007947.794,12138938,6907103,1,DoS
192.168.100.148-192.168.100.3-61406-80-17,192.168.44.149,61406,192.168.142.139,80,17,04/06/2023 06:03:24 PM,16533504,10,1,0,0,0,0,0,0,0,0,0,0,0,0.665315713,1653350.4,473797.6854,3001595,1489720,15027931,1669770.111,499511.4611,3001595,1489720,0,0,0,0,0,0,0,0,0,80,8,0.604832466,0.060483247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,DoS
192.168.100.150-192.168.100.3-51344-80-6,192.168.44.149,51344,192.168.116.33,80,6,04/06/2023 05:09:16 PM,12303685,3,1,300,100,100,100,100,0,100,100,100,0,32.51058524,0.325105852,4101228.333,521687.0843,4648560,3609667,7655125,3827562.5,308150.7713,4045458,3609667,0,0,0,0,0,0,0,0,0,60,20,0.243829389,0.081276463,100,100,100,0,0,0,1,0,0,0,0,0,0,0,125,100,100,0,0,0,0,0,0,3,300,1,100,-1,512,3,0,0,0,0,0,0,0,0,0,1,Reconnaissance
192.168.100.147-192.168.100.6-20624-80-6,192.168.177.244,20624,192.168.82.93,80,6,04/06/2023 01:19:06 PM,19056460,1,1,100,100,100,100,100,0,100,100,100,0,10.49512869,0.104951287,19056460,0,19056460,19056460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.052475643,0.052475643,100,100,100,0,0,0,1,0,0,0,0,0,0,1,150,100,100,0,0,0,0,0,0,1,100,1,100,-1,512,1,0,0,0,0,0,19056460,0,19056460,19056460,1,DDoS
192.168.100.149-192.168.100.6-63337-80-17,192.168.44.149,63337,192.168.31.234,80,17,04/06/2023 02:40:21 PM,36050503,8,1,0,0,0,0,0,0,0,0,0,0,0,0.249649776,4506312.875,2691182.653,10476746,2581182,33062711,4723244.429,2830251.101,10476746,2581182,0,0,0,0,0,0,0,0,0,64,8,0.221910912,0.027738864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,-1,-1,0,0,14618185,0,14618185,14618185,7144106,2908514.065,10476746,5117804,1,DoS
192.168.100.147-192.168.100.3-8690-80-17,192.168.177.244,8690,192.168.25.136,80,17,04/06/2023 02:27:49 PM,26275700,18,1,0,0,0,0,0,0,0,0,0,0,0,0.723101573,1459761.111,1162968.137,5183471,865557,24462045,1438943.824,1195298.213,5183471,865557,0,0,0,0,0,0,0,0,0,144,8,0.685043595,0.038057978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,-1,-1,0,0,21092229,0,21092229,21092229,5183471,0,5183471,5183471,1,DDoS
192.168.100.149-192.168.100.7-29062-80-17,192.168.44.149,29062,192.168.14.141,80,17,04/06/2023 02:30:37 PM,24054111,5,1,0,0,0,0,0,0,0,0,0,0,0,0.249437612,4810822.2,443870.2822,5528089,4408610,19123537,4780884.25,506674.6796,5528089,4408610,0,0,0,0,0,0,0,0,0,40,8,0.207864676,0.041572935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,4930574,0,4930574,4930574,5528089,0,5528089,5528089,1,DoS
192.168.100.148-192.168.100.3-42640-7897-6,192.168.44.149,42640,192.168.65.204,7897,6,22/05/2023 10:34:08 AM,30194,0,2,0,0,0,0,0,0,0,0,0,0,0,66.2383255,30194,0,30194,30194,0,0,0,0,0,30194,30194,0,30194,30194,0,0,0,0,0,44,0,66.2383255,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,Reconnaissance
