Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Attack
192.168.1.195-192.168.1.1-50841-49152-6,162.128.51.100,50841,153.132.170.127,49152,6,29/04/2019 10:54:48 pm,8,2,0,0,0,0,0,0,0,0,0,0,0,0,250000,8,0,8,8,8,8,0,8,8,0,0,0,0,0,0,0,0,0,40,0,250000,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,0,0,20,0,0,0,0,1.56E+15,0,1.56E+15,1.56E+15,0,Benign
192.168.1.195-192.168.1.1-50842-41952-6,179.234.69.4,50842,166.210.188.32,41952,6,29/04/2019 10:54:49 pm,7299,2,0,0,0,0,0,0,0,0,0,0,0,0,274.0101384,7299,0,7299,7299,7299,7299,0,7299,7299,0,0,0,0,0,0,0,0,0,40,0,274.0101384,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,0,0,20,0,0,0,0,1.56E+15,0,1.56E+15,1.56E+15,0,Benign
192.168.1.195-192.168.1.1-50842-41952-6,158.59.17.232,50842,134.23.27.105,41952,6,29/04/2019 10:54:50 pm,3428,2,0,0,0,0,0,0,0,0,0,0,0,0,583.4305718,3428,0,3428,3428,3428,3428,0,3428,3428,0,0,0,0,0,0,0,0,0,40,0,583.4305718,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,0,0,20,0,0,0,0,1.56E+15,0,1.56E+15,1.56E+15,0,Benign
192.168.1.195-192.168.1.1-50841-49152-6,157.15.37.0,50841,179.234.69.4,49152,6,29/04/2019 10:54:51 pm,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,40,0,1000000,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,0,0,20,0,0,0,0,1.56E+15,0,1.56E+15,1.56E+15,0,Benign
192.168.1.195-192.168.1.1-50842-41952-6,126.137.177.74,50842,101.104.219.204,41952,6,29/04/2019 10:54:52 pm,2491,2,0,0,0,0,0,0,0,0,0,0,0,0,802.8904055,2491,0,2491,2491,2491,2491,0,2491,2491,0,0,0,0,0,0,0,0,0,40,0,802.8904055,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,0,0,20,0,0,0,0,1.56E+15,0,1.56E+15,1.56E+15,0,Benign
192.168.1.195-192.168.1.1-50842-41952-6,157.15.37.0,50842,126.137.177.74,41952,6,29/04/2019 10:54:53 pm,7223,2,0,0,0,0,0,0,0,0,0,0,0,0,276.8932576,7223,0,7223,7223,7223,7223,0,7223,7223,0,0,0,0,0,0,0,0,0,40,0,276.8932576,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,0,0,20,0,0,0,0,1.56E+15,0,1.56E+15,1.56E+15,0,Benign
192.168.1.195-192.168.1.1-50842-41952-6,157.15.37.0,50842,107.47.26.242,41952,6,29/04/2019 10:54:54 pm,29327,2,0,0,0,0,0,0,0,0,0,0,0,0,68.19654244,29327,0,29327,29327,29327,29327,0,29327,29327,0,0,0,0,0,0,0,0,0,40,0,68.19654244,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,0,0,20,0,0,0,0,1.56E+15,0,1.56E+15,1.56E+15,0,Benign
192.168.1.195-192.168.1.1-50842-41952-6,107.47.26.242,50842,149.118.196.197,41952,6,29/04/2019 10:54:55 pm,7789,2,0,0,0,0,0,0,0,0,0,0,0,0,256.7723713,7789,0,7789,7789,7789,7789,0,7789,7789,0,0,0,0,0,0,0,0,0,40,0,256.7723713,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,0,0,20,0,0,0,0,1.56E+15,0,1.56E+15,1.56E+15,0,Benign
192.168.1.195-192.168.1.1-50841-49152-6,134.23.27.105,50841,153.132.170.127,49152,6,29/04/2019 10:54:56 pm,9,2,0,0,0,0,0,0,0,0,0,0,0,0,222222.2222,9,0,9,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,40,0,222222.2222,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,0,0,20,0,0,0,0,1.56E+15,0,1.56E+15,1.56E+15,0,Benign
192.168.1.195-192.168.1.1-50842-41952-6,181.70.185.158,50842,147.226.37.67,41952,6,29/04/2019 10:54:57 pm,19125,2,0,0,0,0,0,0,0,0,0,0,0,0,104.5751634,19125,0,19125,19125,19125,19125,0,19125,19125,0,0,0,0,0,0,0,0,0,40,0,104.5751634,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,0,0,20,0,0,0,0,1.56E+15,0,1.56E+15,1.56E+15,0,Benign
